Id,Label,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Felice Zaccheo (Head of Unit),Felice Zaccheo (Head of Unit),commission_employee,3,8,0.191469,0.202921,110.563414
Johannes Luchner (Deputy Director-General),Johannes Luchner (Deputy Director-General),commission_employee,5,8,0.207952,0.222663,738.611078
Martin Seychell (Deputy Director-General),Martin Seychell (Deputy Director-General),commission_employee,-1,9,0.15831,0.165665,678.749197
Katharina Knapton-Vierlich (Head of Unit),Katharina Knapton-Vierlich (Head of Unit),commission_employee,0,8,0.199073,0.210009,708.658878
Kamila Kloc (Director),Kamila Kloc (Director),commission_employee,2,9,0.191774,0.203093,568.146867
Maria Elena Scoppio (Director),Maria Elena Scoppio (Director),commission_employee,0,8,0.221833,0.241691,3466.27439
Lucrezia Busa (Head of Unit),Lucrezia Busa (Head of Unit),commission_employee,1,9,0.203175,0.217307,2120.172048
Damien Levie (Head of Unit),Damien Levie (Head of Unit),commission_employee,2,9,0.190198,0.201515,301.8593
Maria Raffaella Assetta (Head of Unit),Maria Raffaella Assetta (Head of Unit),commission_employee,3,8,0.201204,0.218151,1599.882738
Maria Isabel Garcia Catalan (Head of Unit),Maria Isabel Garcia Catalan (Head of Unit),commission_employee,0,8,0.212657,0.226726,62.60751
Anna Herold (Head of Unit),Anna Herold (Head of Unit),commission_employee,2,8,0.207952,0.221839,85.101546
Eric Thévenard (Head of Unit),Eric Thévenard (Head of Unit),commission_employee,-1,8,0.193689,0.20644,313.724664
Maurice Whelan (Head of Unit),Maurice Whelan (Head of Unit),commission_employee,1,8,0.202151,0.215335,665.238962
Tobias Wiesenthal (Head of Unit),Tobias Wiesenthal (Head of Unit),commission_employee,1,8,0.202151,0.215335,665.238962
Elisabetta Siracusa (Director),Elisabetta Siracusa (Director),commission_employee,-1,8,0.195071,0.207229,305.130793
Mattias Bergdahl (Acting Head of Unit),Mattias Bergdahl (Acting Head of Unit),commission_employee,-1,10,0.151264,0.156818,0.5
Brigitte Misonne (Head of Unit),Brigitte Misonne (Head of Unit),commission_employee,-1,8,0.192265,0.20419,31.921136
Esther Pozo Vera (Head of Unit),Esther Pozo Vera (Head of Unit),commission_employee,5,8,0.206311,0.219735,250.262514
Pierre Bascou (Acting Deputy Director-General),Pierre Bascou (Acting Deputy Director-General),commission_employee,-1,8,0.192265,0.20419,31.921136
org_c3c1ded191b08c7a,org_c3c1ded191b08c7a,org,1,9,0.197894,0.212252,3498.185301
