name,party,country,norm_name
Kristoffer STORM,European Conservatives and Reformists Group,Denmark,KRISTOFFER STORM
Stanislav STOYANOV,Europe of Sovereign Nations Group,Bulgaria,STANISLAV STOYANOV
Marie-Agnes STRACK-ZIMMERMANN,Renew Europe Group,Germany,MARIE-AGNES STRACK-ZIMMERMANN
Cecilia STRADA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,CECILIA STRADA
Joachim STREIT,Renew Europe Group,Germany,JOACHIM STREIT
Tineke STRIK,Group of the Greens/European Free Alliance,Netherlands,TINEKE STRIK
Anna STROLENBERG,Group of the Greens/European Free Alliance,Netherlands,ANNA STROLENBERG
Şerban Dimitrie STURDZA,European Conservatives and Reformists Group,Romania,ŞERBAN DIMITRIE STURDZA
Anna STÜRGKH,Renew Europe Group,Austria,ANNA STÜRGKH
Marcin SYPNIEWSKI,Europe of Sovereign Nations Group,Poland,MARCIN SYPNIEWSKI
Michał SZCZERBA,Group of the European People's Party (Christian Democrats),Poland,MICHAŁ SZCZERBA
Pál SZEKERES,Patriots for Europe Group,Hungary,PÁL SZEKERES
Beata SZYDŁO,European Conservatives and Reformists Group,Poland,BEATA SZYDŁO
Dario TAMBURRANO,The Left group in the European Parliament - GUE/NGL,Italy,DARIO TAMBURRANO
António TÂNGER CORRÊA,Patriots for Europe Group,Portugal,ANTÓNIO TÂNGER CORRÊA
Dominik TARCZYŃSKI,European Conservatives and Reformists Group,Poland,DOMINIK TARCZYŃSKI
Marco TARQUINIO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,MARCO TARQUINIO
Zoltán TARR,Group of the European People's Party (Christian Democrats),Hungary,ZOLTÁN TARR
Claudiu-Richard TÂRZIU,European Conservatives and Reformists Group,Romania,CLAUDIU-RICHARD TÂRZIU
Carla TAVARES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,CARLA TAVARES
Kai TEGETHOFF,Group of the Greens/European Free Alliance,Germany,KAI TEGETHOFF
Marta TEMIDO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,MARTA TEMIDO
Georgiana TEODORESCU,European Conservatives and Reformists Group,Romania,GEORGIANA TEODORESCU
Alice TEODORESCU MÅWE,Group of the European People's Party (Christian Democrats),Sweden,ALICE TEODORESCU MÅWE
Cristian TERHEŞ,European Conservatives and Reformists Group,Romania,CRISTIAN TERHEŞ
Ingeborg TER LAAK,Group of the European People's Party (Christian Democrats),Netherlands,INGEBORG TER LAAK
Riho TERRAS,Group of the European People's Party (Christian Democrats),Estonia,RIHO TERRAS
Hermann TERTSCH,Patriots for Europe Group,Spain,HERMANN TERTSCH
Pierre-Romain THIONNET,Patriots for Europe Group,France,PIERRE-ROMAIN THIONNET
Beatrice TIMGREN,European Conservatives and Reformists Group,Sweden,BEATRICE TIMGREN
Irene TINAGLI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,IRENE TINAGLI
Bruno TOBBACK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,BRUNO TOBBACK
Tomas TOBÉ,Group of the European People's Party (Christian Democrats),Sweden,TOMAS TOBÉ
Rody TOLASSY,Patriots for Europe Group,France,RODY TOLASSY
Eugen TOMAC,Renew Europe Group,Romania,EUGEN TOMAC
Zala TOMAŠIČ,Group of the European People's Party (Christian Democrats),Slovenia,ZALA TOMAŠIČ
Waldemar TOMASZEWSKI,European Conservatives and Reformists Group,Lithuania,WALDEMAR TOMASZEWSKI
Romana TOMC,Group of the European People's Party (Christian Democrats),Slovenia,ROMANA TOMC
Matej TONIN,Group of the European People's Party (Christian Democrats),Slovenia,MATEJ TONIN
Jana TOOM,Renew Europe Group,Estonia,JANA TOOM
Raffaele TOPO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,RAFFAELE TOPO
Francesco TORSELLI,European Conservatives and Reformists Group,Italy,FRANCESCO TORSELLI
Flavio TOSI,Group of the European People's Party (Christian Democrats),Italy,FLAVIO TOSI
Marie TOUSSAINT,Group of the Greens/European Free Alliance,France,MARIE TOUSSAINT
Isabella TOVAGLIERI,Patriots for Europe Group,Italy,ISABELLA TOVAGLIERI
Pekka TOVERI,Group of the European People's Party (Christian Democrats),Finland,PEKKA TOVERI
Pasquale TRIDICO,The Left group in the European Parliament - GUE/NGL,Italy,PASQUALE TRIDICO
Laurence TROCHU,European Conservatives and Reformists Group,France,LAURENCE TROCHU
Dimitris TSIODRAS,Group of the European People's Party (Christian Democrats),Greece,DIMITRIS TSIODRAS
Mihai TUDOSE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,MIHAI TUDOSE
Sebastian TYNKKYNEN,European Conservatives and Reformists Group,Finland,SEBASTIAN TYNKKYNEN
Stanisław TYSZKA,Europe of Sovereign Nations Group,Poland,STANISŁAW TYSZKA
Milan UHRÍK,Europe of Sovereign Nations Group,Slovakia,MILAN UHRÍK
Nils UŠAKOVS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Latvia,NILS UŠAKOVS
Inese VAIDERE,Group of the European People's Party (Christian Democrats),Latvia,INESE VAIDERE
Ivaylo VALCHEV,European Conservatives and Reformists Group,Bulgaria,IVAYLO VALCHEV
Adina VĂLEAN,Group of the European People's Party (Christian Democrats),Romania,ADINA VĂLEAN
Matthieu VALET,Patriots for Europe Group,France,MATTHIEU VALET
Kathleen VAN BREMPT,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,KATHLEEN VAN BREMPT
Anouk VAN BRUG,Renew Europe Group,Netherlands,ANOUK VAN BRUG
Brigitte VAN DEN BERG,Renew Europe Group,Netherlands,BRIGITTE VAN DEN BERG
Tom VANDENDRIESSCHE,Patriots for Europe Group,Belgium,TOM VANDENDRIESSCHE
Kris VAN DIJCK,European Conservatives and Reformists Group,Belgium,KRIS VAN DIJCK
Reinier VAN LANSCHOT,Group of the Greens/European Free Alliance,Netherlands,REINIER VAN LANSCHOT
Jessika VAN LEEUWEN,Group of the European People's Party (Christian Democrats),Netherlands,JESSIKA VAN LEEUWEN
Roberto VANNACCI,Patriots for Europe Group,Italy,ROBERTO VANNACCI
Johan VAN OVERTVELDT,European Conservatives and Reformists Group,Belgium,JOHAN VAN OVERTVELDT
Kim VAN SPARRENTAK,Group of the Greens/European Free Alliance,Netherlands,KIM VAN SPARRENTAK
Alexandre VARAUT,Patriots for Europe Group,France,ALEXANDRE VARAUT
Ana VASCONCELOS,Renew Europe Group,Portugal,ANA VASCONCELOS
Vlad VASILE-VOICULESCU,Renew Europe Group,Romania,VLAD VASILE-VOICULESCU
Hilde VAUTMANS,Renew Europe Group,Belgium,HILDE VAUTMANS
Francesco VENTOLA,European Conservatives and Reformists Group,Italy,FRANCESCO VENTOLA
Sabine VERHEYEN,Group of the European People's Party (Christian Democrats),Germany,SABINE VERHEYEN
Yvan VEROUGSTRAETE,Renew Europe Group,Belgium,YVAN VEROUGSTRAETE
Aurelijus VERYGA,European Conservatives and Reformists Group,Lithuania,AURELIJUS VERYGA
Marko VEŠLIGAJ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Croatia,MARKO VEŠLIGAJ
Annamária VICSEK,Patriots for Europe Group,Hungary,ANNAMÁRIA VICSEK
Catarina VIEIRA,Group of the Greens/European Free Alliance,Netherlands,CATARINA VIEIRA
Kristian VIGENIN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgaria,KRISTIAN VIGENIN
Harald VILIMSKY,Patriots for Europe Group,Austria,HARALD VILIMSKY
Loránt VINCZE,Group of the European People's Party (Christian Democrats),Romania,LORÁNT VINCZE
Marianne VIND,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Denmark,MARIANNE VIND
Anders VISTISEN,Patriots for Europe Group,Denmark,ANDERS VISTISEN
Mariateresa VIVALDINI,European Conservatives and Reformists Group,Italy,MARIATERESA VIVALDINI
Petar VOLGIN,Europe of Sovereign Nations Group,Bulgaria,PETAR VOLGIN
Michael VON DER SCHULENBURG,Non-attached Members,Germany,MICHAEL VON DER SCHULENBURG
Alexandr VONDRA,European Conservatives and Reformists Group,Czechia,ALEXANDR VONDRA
Axel VOSS,Group of the European People's Party (Christian Democrats),Germany,AXEL VOSS
Elissavet VOZEMBERG-VRIONIDI,Group of the European People's Party (Christian Democrats),Greece,ELISSAVET VOZEMBERG-VRIONIDI
Veronika VRECIONOVÁ,European Conservatives and Reformists Group,Czechia,VERONIKA VRECIONOVÁ
Adrián VÁZQUEZ LÁZARA,Group of the European People's Party (Christian Democrats),Spain,ADRIÁN VÁZQUEZ LÁZARA
Thomas WAITZ,Group of the Greens/European Free Alliance,Austria,THOMAS WAITZ
Maria WALSH,Group of the European People's Party (Christian Democrats),Ireland,MARIA WALSH
Marion WALSMANN,Group of the European People's Party (Christian Democrats),Germany,MARION WALSMANN
Jörgen WARBORN,Group of the European People's Party (Christian Democrats),Sweden,JÖRGEN WARBORN
Jan-Peter WARNKE,Non-attached Members,Germany,JAN-PETER WARNKE
Maciej WĄSIK,European Conservatives and Reformists Group,Poland,MACIEJ WĄSIK
Michał WAWRYKIEWICZ,Group of the European People's Party (Christian Democrats),Poland,MICHAŁ WAWRYKIEWICZ
Marta WCISŁO,Group of the European People's Party (Christian Democrats),Poland,MARTA WCISŁO
Manfred WEBER,Group of the European People's Party (Christian Democrats),Germany,MANFRED WEBER
Andrea WECHSLER,Group of the European People's Party (Christian Democrats),Germany,ANDREA WECHSLER
Charlie WEIMERS,European Conservatives and Reformists Group,Sweden,CHARLIE WEIMERS
Séverine WERBROUCK,Patriots for Europe Group,France,SÉVERINE WERBROUCK
Emma WIESNER,Renew Europe Group,Sweden,EMMA WIESNER
Michal WIEZIK,Renew Europe Group,Slovakia,MICHAL WIEZIK
Sophie WILMÈS,Renew Europe Group,Belgium,SOPHIE WILMÈS
Iuliu WINKLER,Group of the European People's Party (Christian Democrats),Romania,IULIU WINKLER
Angelika WINZIG,Group of the European People's Party (Christian Democrats),Austria,ANGELIKA WINZIG
Isabel WISELER-LIMA,Group of the European People's Party (Christian Democrats),Luxembourg,ISABEL WISELER-LIMA
Jadwiga WIŚNIEWSKA,European Conservatives and Reformists Group,Poland,JADWIGA WIŚNIEWSKA
Tiemo WÖLKEN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,TIEMO WÖLKEN
Lara WOLTERS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,LARA WOLTERS
Lucia YAR,Renew Europe Group,Slovakia,LUCIA YAR
Stéphanie YON-COURTIN,Renew Europe Group,France,STÉPHANIE YON-COURTIN
Elena YONCHEVA,Non-attached Members,Bulgaria,ELENA YONCHEVA
Maria ZACHARIA,Non-attached Members,Greece,MARIA ZACHARIA
Ewa ZAJĄCZKOWSKA-HERNIK,Europe of Sovereign Nations Group,Poland,EWA ZAJĄCZKOWSKA-HERNIK
Anna ZALEWSKA,European Conservatives and Reformists Group,Poland,ANNA ZALEWSKA
Dainius ŽALIMAS,Renew Europe Group,Lithuania,DAINIUS ŽALIMAS
Alessandro ZAN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,ALESSANDRO ZAN
Javier ZARZALEJOS,Group of the European People's Party (Christian Democrats),Spain,JAVIER ZARZALEJOS
Tomáš ZDECHOVSKÝ,Group of the European People's Party (Christian Democrats),Czechia,TOMÁŠ ZDECHOVSKÝ
Bogdan Andrzej ZDROJEWSKI,Group of the European People's Party (Christian Democrats),Poland,BOGDAN ANDRZEJ ZDROJEWSKI
Auke ZIJLSTRA,Patriots for Europe Group,Netherlands,AUKE ZIJLSTRA
Roberts ZĪLE,European Conservatives and Reformists Group,Latvia,ROBERTS ZĪLE
Nicola ZINGARETTI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,NICOLA ZINGARETTI
Kosma ZŁOTOWSKI,European Conservatives and Reformists Group,Poland,KOSMA ZŁOTOWSKI
Juan Ignacio ZOIDO ÁLVAREZ,Group of the European People's Party (Christian Democrats),Spain,JUAN IGNACIO ZOIDO ÁLVAREZ
Željana ZOVKO,Group of the European People's Party (Christian Democrats),Croatia,ŽELJANA ZOVKO
Milan ZVER,Group of the European People's Party (Christian Democrats),Slovenia,MILAN ZVER
