name,party,country,norm_name
Susanna CECCARDI,Patriots for Europe Group,Italy,SUSANNA CECCARDI
José CEPEDA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,JOSÉ CEPEDA
Estelle CEULEMANS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,ESTELLE CEULEMANS
Mohammed CHAHIM,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,MOHAMMED CHAHIM
Leila CHAIBI,The Left group in the European Parliament - GUE/NGL,France,LEILA CHAIBI
Olivier CHASTEL,Renew Europe Group,Belgium,OLIVIER CHASTEL
Caterina CHINNICI,Group of the European People's Party (Christian Democrats),Italy,CATERINA CHINNICI
Asger CHRISTENSEN,Renew Europe Group,Denmark,ASGER CHRISTENSEN
Carlo CICCIOLI,European Conservatives and Reformists Group,Italy,CARLO CICCIOLI
Veronika CIFROVÁ OSTRIHOŇOVÁ,Renew Europe Group,Slovakia,VERONIKA CIFROVÁ OSTRIHOŇOVÁ
Alessandro CIRIANI,European Conservatives and Reformists Group,Italy,ALESSANDRO CIRIANI
Anna Maria CISINT,Patriots for Europe Group,Italy,ANNA MARIA CISINT
Per CLAUSEN,The Left group in the European Parliament - GUE/NGL,Denmark,PER CLAUSEN
Christophe CLERGEAU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,CHRISTOPHE CLERGEAU
David CORMAND,Group of the Greens/European Free Alliance,France,DAVID CORMAND
Annalisa CORRADO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,ANNALISA CORRADO
Vivien COSTANZO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,VIVIEN COSTANZO
João COTRIM DE FIGUEIREDO,Renew Europe Group,Portugal,JOÃO COTRIM DE FIGUEIREDO
Barry COWEN,Renew Europe Group,Ireland,BARRY COWEN
Tobias CREMER,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,TOBIAS CREMER
Carmen CRESPO DÍAZ,Group of the European People's Party (Christian Democrats),Spain,CARMEN CRESPO DÍAZ
Andi CRISTEA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,ANDI CRISTEA
Giovanni CROSETTO,European Conservatives and Reformists Group,Italy,GIOVANNI CROSETTO
Paulo CUNHA,Group of the European People's Party (Christian Democrats),Portugal,PAULO CUNHA
Henrik DAHL,Group of the European People's Party (Christian Democrats),Denmark,HENRIK DAHL
Johan DANIELSSON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,JOHAN DANIELSSON
Marie DAUCHY,Patriots for Europe Group,France,MARIE DAUCHY
Dóra DÁVID,Group of the European People's Party (Christian Democrats),Hungary,DÓRA DÁVID
Ivan DAVID,Europe of Sovereign Nations Group,Czechia,IVAN DAVID
Antonio DECARO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,ANTONIO DECARO
Jérémy DECERLE,Renew Europe Group,France,JÉRÉMY DECERLE
Raúl DE LA HOZ QUINTANO,Group of the European People's Party (Christian Democrats),Spain,RAÚL DE LA HOZ QUINTANO
Danilo DELLA VALLE,The Left group in the European Parliament - GUE/NGL,Italy,DANILO DELLA VALLE
Valérie DELOGE,Patriots for Europe Group,France,VALÉRIE DELOGE
Fabio DE MASI,Non-attached Members,Germany,FABIO DE MASI
Salvatore DE MEO,Group of the European People's Party (Christian Democrats),Italy,SALVATORE DE MEO
Özlem DEMIREL,The Left group in the European Parliament - GUE/NGL,Germany,ÖZLEM DEMIREL
Tamás DEUTSCH,Patriots for Europe Group,Hungary,TAMÁS DEUTSCH
Valérie DEVAUX,Renew Europe Group,France,VALÉRIE DEVAUX
Adnan DIBRANI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,ADNAN DIBRANI
Ton DIEPEVEEN,Patriots for Europe Group,Netherlands,TON DIEPEVEEN
Elisabeth DIERINGER,Patriots for Europe Group,Austria,ELISABETH DIERINGER
Vasile DÎNCU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,VASILE DÎNCU
Elio DI RUPO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,ELIO DI RUPO
Mélanie DISDIER,Patriots for Europe Group,France,MÉLANIE DISDIER
Klára DOBREV,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungary,KLÁRA DOBREV
Regina DOHERTY,Group of the European People's Party (Christian Democrats),Ireland,REGINA DOHERTY
Christian DOLESCHAL,Group of the European People's Party (Christian Democrats),Germany,CHRISTIAN DOLESCHAL
Csaba DÖMÖTÖR,Patriots for Europe Group,Hungary,CSABA DÖMÖTÖR
Paulo DO NASCIMENTO CABRAL,Group of the European People's Party (Christian Democrats),Portugal,PAULO DO NASCIMENTO CABRAL
Elena DONAZZAN,European Conservatives and Reformists Group,Italy,ELENA DONAZZAN
Herbert DORFMANN,Group of the European People's Party (Christian Democrats),Italy,HERBERT DORFMANN
Klara DOSTALOVA,Patriots for Europe Group,Czechia,KLARA DOSTALOVA
Ondřej DOSTÁL,Non-attached Members,Czechia,ONDŘEJ DOSTÁL
Siegbert Frank DROESE,Europe of Sovereign Nations Group,Germany,SIEGBERT FRANK DROESE
Lena DÜPONT,Group of the European People's Party (Christian Democrats),Germany,LENA DÜPONT
Michał DWORCZYK,European Conservatives and Reformists Group,Poland,MICHAŁ DWORCZYK
Matthias ECKE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,MATTHIAS ECKE
Christian EHLER,Group of the European People's Party (Christian Democrats),Germany,CHRISTIAN EHLER
Marieke EHLERS,Patriots for Europe Group,Netherlands,MARIEKE EHLERS
Bas EICKHOUT,Group of the Greens/European Free Alliance,Netherlands,BAS EICKHOUT
Sofie ERIKSSON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,SOFIE ERIKSSON
Dick ERIXON,European Conservatives and Reformists Group,Sweden,DICK ERIXON
Engin EROGLU,Renew Europe Group,Germany,ENGIN EROGLU
Rosa ESTARÀS FERRAGUT,Group of the European People's Party (Christian Democrats),Spain,ROSA ESTARÀS FERRAGUT
Sebastian EVERDING,The Left group in the European Parliament - GUE/NGL,Germany,SEBASTIAN EVERDING
Alma EZCURRA ALMANSA,Group of the European People's Party (Christian Democrats),Spain,ALMA EZCURRA ALMANSA
Gheorghe FALCĂ,Group of the European People's Party (Christian Democrats),Romania,GHEORGHE FALCĂ
Marco FALCONE,Group of the European People's Party (Christian Democrats),Italy,MARCO FALCONE
Nikolas FARANTOURIS,The Left group in the European Parliament - GUE/NGL,Greece,NIKOLAS FARANTOURIS
Laurence FARRENG,Renew Europe Group,France,LAURENCE FARRENG
Jan FARSKÝ,Group of the European People's Party (Christian Democrats),Czechia,JAN FARSKÝ
Markus FERBER,Group of the European People's Party (Christian Democrats),Germany,MARKUS FERBER
Viktória FERENC,Patriots for Europe Group,Hungary,VIKTÓRIA FERENC
Jonás FERNÁNDEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,JONÁS FERNÁNDEZ
Carlo FIDANZA,European Conservatives and Reformists Group,Italy,CARLO FIDANZA
Pietro FIOCCHI,European Conservatives and Reformists Group,Italy,PIETRO FIOCCHI
Gabriela FIREA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,GABRIELA FIREA
Ruth FIRMENICH,Non-attached Members,Germany,RUTH FIRMENICH
Claire FITA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,CLAIRE FITA
Luke Ming FLANAGAN,The Left group in the European Parliament - GUE/NGL,Ireland,LUKE MING FLANAGAN
Loucas FOURLAS,Group of the European People's Party (Christian Democrats),Cyprus,LOUCAS FOURLAS
